,,,,,,,,,,,,,
,,,,,,,,,,,,,
ID,Nombre,Iteración,Criterio de Aceptación,Criterio de Terminación,Riesgo,Mitigación,Prioridad,Dependencias,Complejidad,Aceptado,Validado,,
15,Como administrativo quiero agregar una orden de trabajo para que en producción hagan el producto,1,,Se registra la materia prima,Bajo,,Alta,"24,27",5,Sí,Sí,,
16,"Como administrativo, quiero poder editar una orden de trabajo para que tenga los datos correctos",1,,Se edita la materia prima,Bajo,,Alta,17,5,Sí,Sí,,
17,"Como administrativo, quiero poder cancelar una orden de trabajo para tomar las medidas necesarias y no seguir con esa orden en producción",1,Preguntar si de verdad quiere eliminar registro,Se elimina la materia prima,Bajo,,Alta,17,3,Sí,Sí,,
18,Como administrativo quiero terminar una orden de trabajo para indicar que el trabajo fue hecho.,1,,,,,Alta,17,5,Sí,Sí,,
19,"Como administrativo, quiero consultar el inventario de productos terminados para ver mi lista de productos y saber más información de ellas.",1,,Se registra producto terminado,Bajo,,Alta,24,5,Sí,Sí,,
21,Como administrativo quiero poder agregar un paquete tener nuestro inventario actualizado,1,,Se registra producto empaquetado,Bajo,,Media,"21,7",5,Sí,Sí,,
22,Como administrativo quiero editar un paquete para tener nuestro inventario actualizado,1,,Se edita producto empaquetado,Bajo,,Media,24,5,Sí,Sí,,
23,Como administrativo quiero eliminar un paquete para tener nuestro inventario actualizado,1,Preguntar si de verdad quiere eliminar registro,Se elimina producto empaquetado,Bajo,,Media,24,2,Sí,Sí,,
24,Como administrativo quiero agregar un paquete al catálogo de paquetes para tener registro de los paquetes que vendemos,1,,,,,,,5,,,,
25,Como administrativo quiero Editar un paquete del catálogo de paquetes para tenerlo actualizado nuestro catálogo,1,,,,,,,5,,,,
26,Como administrativo quiero eliminar un paquete del catálogo de paquetes para que ya no aparezca en nuestro catálogo,1,,,,,,,5,,,,
27,Como administrativo quiero agregar una Receta para poder tener registrado cuánta materia prima necesito para hacer un producto y obtener su costo.,1,,Se registra receta,Medio,,Alta,10,5,Sí,Sí,,
28,Como administrativo quiero editar una Receta para poder tener actualizado cuánta materia prima necesito para hacer mis productos.,1,,Se edita receta,Bajo,,Alta,27,5,Sí,Sí,,
