,,,,,,,,,,,,,
,Nombre Proyecto:  Pan Q' Ayuda,,,,,,,,,,,,
,"Descripción del Proyecto: Sistema de gestión de inventario, ventas y compras.",,,,,,,,,,,,
,,,,,,,,,,,,,
,ID,Requerimiento Funcional,RF ID,Estatus,ID Componente de Sistema,ID Modulo de Software,ID Criterio de Aceptación,ID Caso de Prueba,ID Defecto,Version,,ID Modulo de Software,Descripción
,27,Como administrativo quiero agregar una Receta para poder tener registrado cuánta materia prima necesito para hacer un producto y obtener su costo.,27,Pruebas,1,1,"27,1 -27,13","27,1 -","27,1 -",1.0,,1,Inventario
,15,Como administrativo quiero agregar una orden de trabajo para que en producción hagan el producto,15,Implementado,1,1,"15,1 -","15,1 -","15,1 -",1.0,,2,Ventas
,16,"Como administrativo, quiero poder editar una orden de trabajo para que tenga los datos correctos",16,Aprobado,1,1,"16,1 -","16,1 -","16,1 -",1.0,,3,Compras
,17,"Como administrativo, quiero poder cancelar una orden de trabajo para tomar las medidas necesarias y no seguir con esa orden en producción",17,Aprobado,1,1,"17,1 - ","17,1 - ","17,1 - ",1.0,,4,Usuarios
,18,Como administrativo quiero terminar una orden de trabajo para indicar que el trabajo fue hecho.,18,Aprobado,1,1,"18,1 -","18,1 -","18,1 -",1.0,,5,Reportes
,19,"Como administrativo, quiero consultar el inventario de productos terminados para ver mi lista de productos y saber más información de ellas.",19,Aprobado,1,1,"19,1 -","19,1 -","19,1 -",1.0,,,
,21,Como administrativo quiero poder agregar un paquete tener nuestro inventario actualizado,21,Diseñado,1,1,"21,1 -","21,1 -","21,1 -",1.0,,,
,22,Como administrativo quiero editar un paquete para tener nuestro inventario actualizado,22,Aprobado,1,1,"22,1 -","22,1 -","22,1 -",1.0,,,
,23,Como administrativo quiero eliminar un paquete para tener nuestro inventario actualizado,23,Aprobado,1,1,"23,1 -","23,1 -","23,1 -",1.0,,,
,24,Como administrativo quiero agregar un paquete al catálogo de paquetes para tener registro de los paquetes que vendemos,24,Diseñado,1,1,"24,1 -","24,1 -","24,1 -",1.0,,,
,25,Como administrativo quiero Editar un paquete del catálogo de paquetes para tenerlo actualizado nuestro catálogo,25,Implementado,1,1,"25,1 -25,6","25,1 -","25,1 -",1.0,,,
,26,Como administrativo quiero eliminar un paquete del catálogo de paquetes para que ya no aparezca en nuestro catálogo,26,Aprobado,1,1,"26,1 -","26,1 -","26,1 -",1.0,,,
,28,Como administrativo quiero editar una Receta para poder tener actualizado cuánta materia prima necesito para hacer mis productos.,28,Diseñado,1,1,"28,1 -","28,1 -","28,1 -",1.0,,,
,29,"Como administrativo quiero eliminar una Receta para que en caso de que ya no se produzca el producto de esa receta, no me aparezca.",29,Diseñado,1,1,"29,1 -","29,1 -","29,1 -",1.0,,,
,34,Como administrador quiero consultar el costo de un producto para asignarle un precio,34,,1,1,"34,1 -","34,1 -","34,1 -",1.0,,,
,1,"Como administrativo, quiero poder agregar un proveedor para tener un registro de ellos",1,,3,3,"1,1 -","1,1 -","1,1 -",1.0,,,
,2,"Como administrativo, quiero poder editar la información de un proveedor para poder mantenerlos actualizados",2,,3,3,"2,1 -","2,1 -","2,1 -",1.0,,,
,3,"Como administrativo, quiero poder eliminar un proveedor de mi lista para mantener mi lista actualizada",3,,3,3,"3,1 -","3,1 -","3,1 -",1.0,,,
,7,"Como administrativo, quiero poder agregar una compra para dar de alta las materias primas que adquirí",7,,3,3,"7,1 -","7,1 -","7,1 -",1.0,,,
,8,"Como  administrtaivo, quiero poder editar una compra para corregir información o actualizarla en caso de que sea necesario.",8,,3,3,"8,1 -","8,1 -","8,1 -",1.0,,,
,9,"Como administrativo, quiero poder eliminar una compra para que en caso de error no afecte en mi inventario ni en mi cuenta.",9,,3,3,"9,1 -","9,1 -","9,1 -",1.0,,,
,10,"Como administrador, quiero poder consultar reporte de entradas para saber qué nos han vendido los proveedores",10,,5,5,"10,1 -","10,1 -","10,1 -",1.0,,,
,33,Como administrador quiero consultar un reporte para saber como van las ventas y el inventario,33,,5,5,"33,1 -","33,1 -","33,1 -",1.0,,,
